LYD,3/1/2019,$868.48 ,$884.69 ,$856.18 ,$896.99 
L.PR.B,3/3/2019,$909.84 ,$938.83 ,$874.19 ,$974.48 
DC.WT,3/2/2019,$192.47 ,$199.21 ,$175.35 ,$216.34 
L.PR.B,3/3/2019,$574.82 ,$576.65 ,$565.34 ,$586.13 
BELL,3/1/2019,$150.00 ,$190.39 ,$115.81 ,$224.58 
LYD,3/4/2019,$260.05 ,$291.63 ,$256.90 ,$294.78 
RBC,2/28/2019,$894.16 ,$932.97 ,$886.38 ,$940.75 
LYD,3/3/2019,$216.94 ,$243.73 ,$194.97 ,$265.70 
DC.WT,3/2/2019,$585.41 ,$588.17 ,$536.31 ,$637.27 
TSLA,3/3/2019,$712.72 ,$759.02 ,$711.97 ,$759.77 
ARG,2/28/2019,$979.41 ,"$1,008.19 ",$939.00 ,"$1,048.59 "
RBC,3/2/2019,$477.13 ,$510.20 ,$444.01 ,$543.32 
BELL,3/4/2019,$26.34 ,$52.62 ,($7.43),$86.39 
DC.WT,3/4/2019,$766.54 ,$775.55 ,$739.56 ,$802.53 
ROG,3/3/2019,$508.55 ,$553.02 ,$488.04 ,$573.52 
TSLA,2/28/2019,$859.41 ,$885.14 ,$848.56 ,$895.99 
BELL,3/1/2019,$385.77 ,$420.63 ,$361.13 ,$445.27 
ARG,3/3/2019,$73.51 ,$112.07 ,$50.89 ,$134.68 
MSFT,2/28/2019,$399.44 ,$424.91 ,$363.56 ,$460.79 
L.PR.B,3/3/2019,$563.45 ,$583.93 ,$551.39 ,$596.00 
ROG,3/4/2019,$177.54 ,$182.32 ,$127.61 ,$232.25 
RBC,3/2/2019,$555.71 ,$566.27 ,$535.66 ,$586.32 
GOOG,3/4/2019,$405.78 ,$416.76 ,$357.77 ,$464.78 
L.PR.B,2/28/2019,$368.39 ,$413.51 ,$354.20 ,$427.71 
ROG,3/3/2019,$901.44 ,$911.47 ,$863.92 ,$949.00 
RBC,3/4/2019,$441.58 ,$461.17 ,$415.36 ,$487.39 
TSLA,3/2/2019,$441.29 ,$486.76 ,$401.16 ,$526.89 
ARG,3/3/2019,$133.80 ,$182.50 ,$96.00 ,$220.31 
RBC,3/3/2019,$658.80 ,$696.76 ,$657.66 ,$697.90 
MSFT,3/1/2019,$227.71 ,$244.66 ,$225.58 ,$246.78 
L.PR.B,3/2/2019,$853.89 ,$872.37 ,$843.90 ,$882.36 
TSLA,3/3/2019,$489.31 ,$511.61 ,$460.47 ,$540.45 
L.PR.B,3/4/2019,$96.70 ,$109.16 ,$60.00 ,$145.85 
ARG,3/4/2019,$897.15 ,$901.17 ,$893.66 ,$904.66 
ARG,3/1/2019,$574.88 ,$612.17 ,$560.63 ,$626.42 
LYD,3/1/2019,$576.68 ,$604.30 ,$552.03 ,$628.94 
DC.WT,3/4/2019,$643.64 ,$679.68 ,$627.26 ,$696.07 
L.PR.B,3/4/2019,$51.16 ,$85.52 ,$9.28 ,$127.40 
DC.WT,3/2/2019,$244.24 ,$248.60 ,$198.66 ,$294.18 
LYD,3/2/2019,$363.36 ,$383.88 ,$348.61 ,$398.63 
MSFT,3/4/2019,$840.58 ,$844.46 ,$798.24 ,$886.80 
BELL,2/28/2019,$151.22 ,$152.71 ,$142.71 ,$161.23 
TSLA,3/4/2019,$827.14 ,$874.98 ,$815.97 ,$886.15 
RBC,3/2/2019,$368.26 ,$397.38 ,$355.76 ,$409.87 
L.PR.B,3/1/2019,$571.74 ,$621.63 ,$546.16 ,$647.21 
BELL,3/1/2019,$601.34 ,$629.23 ,$567.10 ,$663.48 
ARG,3/4/2019,$441.96 ,$449.79 ,$438.31 ,$453.44 
TSLA,3/1/2019,$73.03 ,$89.75 ,$57.68 ,$105.10 
ARG,3/1/2019,$818.07 ,$829.51 ,$771.27 ,$876.31 
ARG,3/4/2019,$423.57 ,$459.08 ,$376.05 ,$506.60 
MSFT,3/1/2019,$714.11 ,$728.92 ,$664.32 ,$778.71 
BELL,3/3/2019,$987.01 ,"$1,026.62 ",$956.11 ,"$1,057.51 "
LYD,3/3/2019,$307.15 ,$320.44 ,$292.28 ,$335.30 
ARG,3/3/2019,$84.76 ,$95.93 ,$82.17 ,$98.52 
L.PR.B,3/1/2019,$240.99 ,$264.42 ,$192.49 ,$312.92 
ROG,3/4/2019,$215.07 ,$225.16 ,$174.63 ,$265.60 
RBC,3/3/2019,$178.26 ,$181.62 ,$140.01 ,$219.87 
BELL,3/3/2019,$186.28 ,$202.59 ,$149.03 ,$239.85 
LYD,3/1/2019,$304.11 ,$346.15 ,$260.76 ,$389.49 
ARG,3/4/2019,$100.32 ,$130.50 ,$66.34 ,$164.48 
MSFT,3/1/2019,$283.84 ,$303.34 ,$264.50 ,$322.68 
DC.WT,3/4/2019,$334.17 ,$371.99 ,$307.72 ,$398.44 
DC.WT,3/1/2019,$174.35 ,$181.24 ,$143.95 ,$211.64 
DC.WT,3/1/2019,$198.36 ,$220.99 ,$163.42 ,$255.93 
ROG,3/2/2019,$19.53 ,$26.77 ,($0.77),$47.08 
GOOG,2/28/2019,$232.92 ,$246.30 ,$216.62 ,$262.61 
ARG,3/1/2019,$893.61 ,$896.03 ,$864.99 ,$924.65 
LYD,3/4/2019,$257.98 ,$307.46 ,$252.46 ,$312.98 
TSLA,2/28/2019,$864.91 ,$894.17 ,$822.59 ,$936.49 
DC.WT,2/28/2019,$781.03 ,$828.93 ,$776.34 ,$833.62 
DC.WT,2/28/2019,$36.00 ,$62.53 ,$6.94 ,$91.59 
ROG,2/28/2019,$54.51 ,$60.32 ,$6.02 ,$108.81 
BELL,3/1/2019,$956.16 ,$957.01 ,$942.40 ,$970.77 
TSLA,2/28/2019,$390.30 ,$424.51 ,$372.55 ,$442.26 
ROG,2/28/2019,$642.41 ,$667.64 ,$601.05 ,$709.00 
MSFT,2/28/2019,$531.96 ,$578.67 ,$513.09 ,$597.54 
RBC,3/2/2019,$97.89 ,$108.80 ,$77.08 ,$129.61 
ROG,2/28/2019,$146.07 ,$191.73 ,$99.27 ,$238.53 
DC.WT,2/28/2019,$943.32 ,$971.18 ,$926.34 ,$988.16 
MSFT,3/1/2019,$600.16 ,$648.64 ,$592.24 ,$656.56 
BELL,3/2/2019,$906.97 ,$908.23 ,$875.29 ,$939.91 
TSLA,2/28/2019,$693.09 ,$721.84 ,$668.66 ,$746.27 
L.PR.B,2/28/2019,$417.30 ,$459.33 ,$396.97 ,$479.66 
ROG,3/3/2019,$997.55 ,"$1,025.34 ",$987.68 ,"$1,035.21 "
GOOG,3/2/2019,$485.51 ,$535.12 ,$464.53 ,$556.09 
LYD,3/4/2019,$957.74 ,$961.82 ,$929.54 ,$990.02 
ARG,3/3/2019,$199.04 ,$234.16 ,$181.90 ,$251.30 
RBC,2/28/2019,$169.89 ,$194.89 ,$127.87 ,$236.91 
L.PR.B,3/3/2019,$622.76 ,$623.03 ,$582.39 ,$663.40 
RBC,3/3/2019,$126.03 ,$163.04 ,$98.02 ,$191.04 
ROG,3/2/2019,$581.14 ,$610.24 ,$579.03 ,$612.35 
TSLA,3/3/2019,$745.00 ,$793.22 ,$725.86 ,$812.36 
ARG,3/3/2019,$420.93 ,$459.70 ,$383.25 ,$497.38 
BELL,2/28/2019,$231.21 ,$244.13 ,$227.47 ,$247.86 
TSLA,3/1/2019,$451.71 ,$492.84 ,$438.60 ,$505.96 
BELL,3/4/2019,$620.54 ,$628.30 ,$591.06 ,$657.78 
RBC,3/2/2019,$122.45 ,$151.72 ,$113.03 ,$161.14 
DC.WT,3/3/2019,$139.59 ,$166.47 ,$97.29 ,$208.77 
L.PR.B,3/1/2019,$113.69 ,$127.24 ,$80.07 ,$160.86 
LYD,3/4/2019,$500.51 ,$535.32 ,$466.00 ,$569.83 
TSLA,3/1/2019,$681.25 ,$686.44 ,$639.14 ,$728.56 
L.PR.B,3/3/2019,$174.61 ,$176.29 ,$166.87 ,$184.03 
ROG,3/4/2019,$669.94 ,$682.92 ,$649.98 ,$702.87 
DC.WT,2/28/2019,$50.48 ,$84.40 ,$26.85 ,$108.03 
ROG,3/3/2019,$688.63 ,$691.89 ,$640.78 ,$739.74 
ROG,3/1/2019,$489.57 ,$525.52 ,$440.03 ,$575.06 
TSLA,3/2/2019,$234.18 ,$243.51 ,$223.99 ,$253.70 
L.PR.B,3/4/2019,$830.01 ,$850.42 ,$829.30 ,$851.13 
BELL,3/2/2019,$575.47 ,$579.75 ,$533.55 ,$621.68 
GOOG,3/4/2019,$305.27 ,$338.91 ,$257.28 ,$386.91 
BELL,3/3/2019,$638.44 ,$662.29 ,$606.46 ,$694.27 
RBC,2/28/2019,$759.18 ,$774.20 ,$739.86 ,$793.53 
BELL,3/1/2019,$851.76 ,$884.47 ,$819.73 ,$916.50 
LYD,3/4/2019,$885.10 ,$913.33 ,$854.15 ,$944.27 
GOOG,2/28/2019,$906.89 ,$920.70 ,$896.07 ,$931.52 
LYD,3/1/2019,$440.30 ,$482.37 ,$396.98 ,$525.69 
RBC,3/4/2019,$542.43 ,$579.44 ,$522.37 ,$599.49 
ROG,3/4/2019,$770.54 ,$796.61 ,$756.58 ,$810.57 
BELL,3/2/2019,$271.09 ,$271.89 ,$268.68 ,$274.30 
ARG,3/2/2019,$463.24 ,$506.72 ,$434.48 ,$535.48 
ARG,3/4/2019,$551.52 ,$562.19 ,$511.35 ,$602.37 
DC.WT,3/1/2019,$386.43 ,$423.38 ,$364.70 ,$445.11 
RBC,3/1/2019,$8.45 ,$46.01 ,($14.38),$68.83 
ARG,3/1/2019,$511.65 ,$522.88 ,$500.95 ,$533.58 
RBC,2/28/2019,$448.18 ,$482.64 ,$419.53 ,$511.28 
MSFT,3/3/2019,$239.71 ,$258.62 ,$192.14 ,$306.20 
ROG,3/2/2019,$885.51 ,$911.09 ,$853.78 ,$942.82 
LYD,3/1/2019,$996.71 ,"$1,014.39 ",$984.97 ,"$1,026.13 "
ARG,3/4/2019,$514.62 ,$563.95 ,$469.48 ,$609.09 
BELL,3/1/2019,$733.14 ,$768.16 ,$722.52 ,$778.78 
BELL,3/1/2019,$677.85 ,$699.12 ,$670.74 ,$706.23 
L.PR.B,2/28/2019,$237.21 ,$262.76 ,$202.91 ,$297.06 
GOOG,3/1/2019,$254.49 ,$267.57 ,$252.99 ,$269.07 
GOOG,2/28/2019,$319.87 ,$321.58 ,$315.38 ,$326.07 
TSLA,2/28/2019,$750.21 ,$783.77 ,$745.33 ,$788.66 
TSLA,3/2/2019,$533.78 ,$538.26 ,$521.51 ,$550.53 
L.PR.B,3/1/2019,$730.20 ,$753.81 ,$727.99 ,$756.02 
DC.WT,3/3/2019,$628.84 ,$651.57 ,$595.05 ,$685.36 
LYD,3/4/2019,$673.22 ,$719.29 ,$645.36 ,$747.15 
GOOG,3/2/2019,$932.19 ,$973.95 ,$910.14 ,$996.00 
ROG,3/4/2019,$960.29 ,$987.48 ,$956.82 ,$990.95 
MSFT,3/2/2019,$802.53 ,$834.22 ,$753.45 ,$883.29 
ARG,3/2/2019,$350.40 ,$379.54 ,$326.49 ,$403.46 
ROG,2/28/2019,$882.36 ,$920.90 ,$874.32 ,$928.94 
ROG,2/28/2019,$213.51 ,$228.09 ,$183.00 ,$258.60 
LYD,3/3/2019,$398.99 ,$422.82 ,$392.56 ,$429.26 
ROG,3/2/2019,$933.09 ,$952.79 ,$888.67 ,$997.20 
DC.WT,3/1/2019,$239.08 ,$268.61 ,$209.57 ,$298.12 
LYD,3/3/2019,$352.14 ,$361.76 ,$306.44 ,$407.46 
ROG,3/1/2019,$362.31 ,$370.50 ,$347.79 ,$385.02 
ROG,3/1/2019,$660.20 ,$678.72 ,$651.18 ,$687.74 
MSFT,3/3/2019,$260.40 ,$291.41 ,$213.48 ,$338.33 
ARG,2/28/2019,$590.62 ,$609.27 ,$567.73 ,$632.15 
GOOG,3/3/2019,$775.34 ,$796.56 ,$774.70 ,$797.20 
LYD,3/2/2019,$289.67 ,$293.54 ,$272.22 ,$310.99 
TSLA,3/1/2019,$971.56 ,"$1,011.03 ",$968.92 ,"$1,013.67 "
LYD,3/3/2019,$832.87 ,$880.89 ,$820.82 ,$892.94 
ARG,3/3/2019,$610.15 ,$622.16 ,$567.65 ,$664.66 
MSFT,2/28/2019,$800.56 ,$841.79 ,$789.02 ,$853.33 
L.PR.B,3/3/2019,$717.05 ,$734.07 ,$692.73 ,$758.39 
TSLA,3/2/2019,$592.05 ,$602.78 ,$560.11 ,$634.73 
DC.WT,2/28/2019,$3.29 ,$30.08 ,($9.47),$42.85 
BELL,3/2/2019,$288.24 ,$310.49 ,$239.04 ,$359.68 
LYD,3/3/2019,$717.44 ,$721.87 ,$688.22 ,$751.09 
L.PR.B,3/3/2019,$150.62 ,$196.01 ,$127.44 ,$219.19 
ROG,3/1/2019,$727.50 ,$734.73 ,$680.33 ,$781.89 
L.PR.B,3/2/2019,$979.13 ,$999.93 ,$968.52 ,"$1,010.54 "
ARG,3/1/2019,$412.94 ,$459.27 ,$368.42 ,$503.79 
GOOG,3/1/2019,$696.10 ,$722.06 ,$690.52 ,$727.65 
MSFT,3/2/2019,$187.21 ,$224.42 ,$139.90 ,$271.74 
TSLA,3/3/2019,$872.17 ,$895.91 ,$830.35 ,$937.72 
MSFT,3/2/2019,$570.15 ,$606.43 ,$527.70 ,$648.88 
BELL,3/3/2019,$379.47 ,$425.68 ,$358.49 ,$446.66 
RBC,3/4/2019,$586.31 ,$609.61 ,$543.87 ,$652.05 
L.PR.B,3/4/2019,$544.91 ,$564.46 ,$507.79 ,$601.58 
L.PR.B,3/1/2019,$660.65 ,$676.78 ,$631.18 ,$706.25 
MSFT,3/3/2019,$581.36 ,$618.26 ,$561.56 ,$638.07 
L.PR.B,3/2/2019,$452.87 ,$456.59 ,$440.75 ,$468.70 
L.PR.B,3/3/2019,$533.69 ,$579.71 ,$504.53 ,$608.86 
TSLA,3/3/2019,$920.27 ,$965.37 ,$914.66 ,$970.97 
MSFT,3/1/2019,$234.26 ,$242.02 ,$195.35 ,$280.93 
BELL,3/3/2019,$257.61 ,$277.88 ,$219.16 ,$316.32 
DC.WT,2/28/2019,$21.64 ,$44.54 ,$21.59 ,$44.58 
L.PR.B,3/3/2019,$508.58 ,$514.44 ,$471.84 ,$551.18 
MSFT,3/1/2019,$349.60 ,$357.43 ,$310.97 ,$396.06 
DC.WT,3/3/2019,$431.16 ,$445.98 ,$407.32 ,$469.81 
DC.WT,3/4/2019,$305.66 ,$337.55 ,$264.01 ,$379.20 
TSLA,3/2/2019,$475.87 ,$517.75 ,$444.33 ,$549.29 
RBC,3/2/2019,$76.30 ,$87.18 ,$34.26 ,$129.22 
DC.WT,2/28/2019,$811.52 ,$827.07 ,$794.45 ,$844.14 
DC.WT,3/4/2019,$735.89 ,$784.11 ,$689.76 ,$830.24 
MSFT,2/28/2019,$479.56 ,$504.07 ,$467.19 ,$516.45 
L.PR.B,3/3/2019,$767.17 ,$785.06 ,$739.92 ,$812.31 
RBC,3/4/2019,$180.19 ,$188.41 ,$136.44 ,$232.15 
MSFT,3/4/2019,$322.91 ,$363.88 ,$311.61 ,$375.17 
DC.WT,3/1/2019,$999.45 ,"$1,016.04 ",$976.69 ,"$1,038.80 "
MSFT,3/2/2019,$652.76 ,$691.97 ,$615.96 ,$728.77 
GOOG,3/2/2019,$450.86 ,$480.69 ,$429.34 ,$502.22 
MSFT,3/3/2019,$334.65 ,$372.83 ,$322.67 ,$384.81 
GOOG,3/1/2019,$855.75 ,$860.66 ,$820.32 ,$896.09 
L.PR.B,3/4/2019,$594.28 ,$629.78 ,$572.34 ,$651.72 
MSFT,3/2/2019,$737.70 ,$764.20 ,$716.59 ,$785.31 
MSFT,3/3/2019,$859.90 ,$894.67 ,$811.51 ,$943.05 
DC.WT,3/2/2019,$578.22 ,$625.57 ,$566.66 ,$637.13 
DC.WT,2/28/2019,$265.97 ,$273.97 ,$239.34 ,$300.60 
DC.WT,3/3/2019,$92.36 ,$115.67 ,$63.15 ,$144.88 
MSFT,3/3/2019,$103.97 ,$108.55 ,$94.50 ,$118.03 
TSLA,3/3/2019,$898.50 ,$917.26 ,$866.65 ,$949.11 
ARG,2/28/2019,$25.34 ,$59.47 ,$1.09 ,$83.72 
TSLA,3/3/2019,$317.88 ,$325.61 ,$314.73 ,$328.76 
ROG,3/4/2019,$484.80 ,$495.11 ,$440.21 ,$539.70 
DC.WT,2/28/2019,$469.70 ,$476.77 ,$429.05 ,$517.42 
ROG,3/1/2019,$5.06 ,$29.65 ,($14.21),$48.93 
RBC,3/4/2019,$851.39 ,$857.86 ,$842.38 ,$866.87 
L.PR.B,3/1/2019,$407.02 ,$440.27 ,$363.06 ,$484.23 
ROG,3/4/2019,$711.53 ,$740.43 ,$698.65 ,$753.31 
DC.WT,3/2/2019,$626.22 ,$645.23 ,$578.40 ,$693.05 
GOOG,3/2/2019,$85.38 ,$122.42 ,$74.15 ,$133.64 
ARG,2/28/2019,$175.67 ,$215.74 ,$174.09 ,$217.31 
TSLA,3/2/2019,$504.27 ,$514.44 ,$485.08 ,$533.63 
MSFT,3/4/2019,$110.88 ,$113.48 ,$105.32 ,$119.05 
MSFT,3/1/2019,$310.03 ,$326.94 ,$284.40 ,$352.57 
BELL,3/3/2019,$52.85 ,$94.85 ,$22.10 ,$125.61 
TSLA,3/2/2019,$808.89 ,$837.95 ,$786.75 ,$860.10 
L.PR.B,3/3/2019,$387.57 ,$406.76 ,$376.09 ,$418.24 
MSFT,3/2/2019,$861.12 ,$879.35 ,$859.64 ,$880.83 
DC.WT,3/3/2019,$829.36 ,$835.16 ,$812.38 ,$852.13 
MSFT,3/2/2019,$746.79 ,$791.65 ,$722.60 ,$815.83 
LYD,3/1/2019,$410.42 ,$438.25 ,$380.10 ,$468.57 
ROG,3/3/2019,$28.04 ,$55.09 ,($16.17),$99.30 
L.PR.B,3/4/2019,$904.01 ,$913.44 ,$865.92 ,$951.54 
ARG,3/2/2019,$582.81 ,$601.73 ,$542.38 ,$642.16 
GOOG,3/2/2019,$8.41 ,$45.04 ,($29.52),$82.97 
DC.WT,3/2/2019,$810.73 ,$860.61 ,$768.40 ,$902.95 
DC.WT,3/4/2019,$715.11 ,$729.45 ,$700.78 ,$743.78 
BELL,3/3/2019,$179.14 ,$183.30 ,$163.08 ,$199.36 
TSLA,3/1/2019,$184.16 ,$232.79 ,$135.45 ,$281.50 
MSFT,3/2/2019,$616.62 ,$657.41 ,$571.25 ,$702.79 
TSLA,3/3/2019,$293.54 ,$308.86 ,$255.63 ,$346.76 
ROG,3/3/2019,$559.20 ,$609.04 ,$553.64 ,$614.60 
LYD,3/3/2019,$148.85 ,$151.27 ,$142.98 ,$157.14 
BELL,3/2/2019,$377.75 ,$409.72 ,$369.64 ,$417.83 
MSFT,3/3/2019,$391.12 ,$417.40 ,$375.90 ,$432.62 
RBC,2/28/2019,$325.82 ,$359.08 ,$314.55 ,$370.35 
L.PR.B,3/4/2019,$21.76 ,$46.70 ,$4.10 ,$64.37 
ROG,3/4/2019,$528.26 ,$573.22 ,$524.93 ,$576.55 
MSFT,3/2/2019,$223.43 ,$258.59 ,$209.74 ,$272.28 
ROG,3/2/2019,$514.02 ,$552.40 ,$490.55 ,$575.87 
TSLA,3/3/2019,$261.14 ,$275.83 ,$225.85 ,$311.12 
RBC,3/4/2019,$764.91 ,$807.41 ,$759.52 ,$812.79 
MSFT,3/1/2019,$178.51 ,$195.72 ,$144.03 ,$230.20 
MSFT,2/28/2019,$295.88 ,$301.31 ,$280.04 ,$317.14 
MSFT,3/2/2019,$273.92 ,$296.81 ,$239.47 ,$331.27 
MSFT,3/4/2019,$530.99 ,$549.22 ,$528.66 ,$551.56 
MSFT,3/3/2019,$884.03 ,$921.12 ,$882.16 ,$922.99 
DC.WT,3/3/2019,$164.88 ,$179.67 ,$133.04 ,$211.51 
ROG,2/28/2019,$246.44 ,$270.75 ,$245.14 ,$272.05 
L.PR.B,3/2/2019,$307.35 ,$310.15 ,$284.20 ,$333.30 
L.PR.B,2/28/2019,$911.01 ,$949.18 ,$871.23 ,$988.96 
DC.WT,2/28/2019,$551.24 ,$580.98 ,$529.04 ,$603.18 
ARG,2/28/2019,$458.69 ,$462.03 ,$436.81 ,$483.92 
BELL,3/2/2019,$489.88 ,$502.69 ,$479.04 ,$513.53 
BELL,3/1/2019,$41.41 ,$75.20 ,($5.69),$122.31 
ARG,3/4/2019,$435.27 ,$452.52 ,$394.87 ,$492.93 
DC.WT,2/28/2019,$400.58 ,$428.11 ,$385.65 ,$443.04 
L.PR.B,3/4/2019,$434.67 ,$475.36 ,$418.81 ,$491.22 
LYD,2/28/2019,$868.12 ,$876.75 ,$841.25 ,$903.62 
GOOG,3/4/2019,$31.94 ,$36.84 ,$30.59 ,$38.19 
GOOG,3/3/2019,$901.89 ,$912.07 ,$900.26 ,$913.69 
GOOG,3/2/2019,$565.32 ,$608.72 ,$520.19 ,$653.85 
GOOG,3/2/2019,$133.41 ,$138.31 ,$105.08 ,$166.64 
BELL,3/3/2019,$97.05 ,$122.39 ,$72.28 ,$147.16 
BELL,2/28/2019,$312.59 ,$350.90 ,$275.38 ,$388.12 
DC.WT,3/2/2019,$636.89 ,$648.18 ,$588.08 ,$696.99 
MSFT,2/28/2019,$15.78 ,$65.49 ,($18.95),$100.21 
RBC,3/2/2019,$636.01 ,$637.30 ,$597.97 ,$675.34 
BELL,3/4/2019,$5.59 ,$22.41 ,($7.06),$35.07 
RBC,3/1/2019,$521.38 ,$555.26 ,$512.17 ,$564.46 
ROG,3/4/2019,$644.47 ,$669.85 ,$643.63 ,$670.69 
TSLA,3/4/2019,$698.55 ,$742.63 ,$680.38 ,$760.79 
LYD,3/4/2019,$256.42 ,$278.39 ,$237.40 ,$297.42 
MSFT,2/28/2019,$68.30 ,$114.52 ,$28.00 ,$154.82 
ARG,3/2/2019,$301.97 ,$335.24 ,$282.34 ,$354.87 
ARG,3/1/2019,$417.35 ,$454.99 ,$373.73 ,$498.61 
BELL,2/28/2019,$392.31 ,$438.64 ,$343.56 ,$487.39 
BELL,2/28/2019,$986.60 ,"$1,026.51 ",$938.77 ,"$1,074.34 "
TSLA,3/4/2019,$812.52 ,$823.68 ,$809.49 ,$826.70 
LYD,2/28/2019,$59.31 ,$68.79 ,$10.18 ,$117.92 
RBC,3/3/2019,$372.57 ,$416.80 ,$328.78 ,$460.59 
RBC,3/3/2019,$158.18 ,$187.65 ,$137.64 ,$208.20 
LYD,3/1/2019,$95.11 ,$117.35 ,$86.02 ,$126.44 
GOOG,3/1/2019,$855.60 ,$868.08 ,$823.47 ,$900.21 
GOOG,2/28/2019,$963.00 ,$978.90 ,$925.01 ,"$1,016.89 "
ROG,3/3/2019,$38.94 ,$77.73 ,($1.58),$118.25 
BELL,3/2/2019,$898.33 ,$919.85 ,$856.05 ,$962.13 
ROG,3/3/2019,$164.34 ,$189.87 ,$133.02 ,$221.18 
RBC,3/1/2019,$18.62 ,$52.11 ,($21.07),$91.80 
RBC,2/28/2019,$631.03 ,$637.95 ,$590.31 ,$678.67 
RBC,3/4/2019,$656.38 ,$705.74 ,$636.11 ,$726.00 
GOOG,3/3/2019,$142.43 ,$145.51 ,$102.10 ,$185.84 
ARG,3/2/2019,$290.21 ,$305.13 ,$284.23 ,$311.10 
GOOG,3/2/2019,$740.99 ,$782.24 ,$726.34 ,$796.89 
BELL,2/28/2019,$896.25 ,$906.59 ,$893.21 ,$909.64 
L.PR.B,3/4/2019,$962.81 ,$982.51 ,$960.72 ,$984.60 
L.PR.B,3/4/2019,$25.43 ,$58.68 ,($15.92),$100.04 
BELL,3/3/2019,$759.71 ,$771.49 ,$710.97 ,$820.23 
LYD,3/2/2019,$749.87 ,$753.70 ,$740.43 ,$763.13 
RBC,3/2/2019,$564.20 ,$601.21 ,$540.17 ,$625.23 
MSFT,3/4/2019,$932.03 ,$960.58 ,$931.94 ,$960.67 
DC.WT,3/2/2019,$960.48 ,$975.62 ,$933.39 ,"$1,002.70 "
ROG,3/4/2019,$577.97 ,$586.79 ,$539.10 ,$625.66 
L.PR.B,3/1/2019,$166.10 ,$192.54 ,$153.72 ,$204.92 
GOOG,3/4/2019,$506.54 ,$515.51 ,$485.66 ,$536.39 
MSFT,3/3/2019,$698.07 ,$710.62 ,$666.69 ,$742.00 
BELL,2/28/2019,$888.62 ,$925.13 ,$842.31 ,$971.44 
GOOG,3/3/2019,$831.27 ,$865.86 ,$799.43 ,$897.70 
RBC,3/3/2019,$730.42 ,$764.22 ,$699.42 ,$795.22 
BELL,3/1/2019,$234.02 ,$257.20 ,$196.16 ,$295.06 
MSFT,3/3/2019,$111.17 ,$114.69 ,$65.74 ,$160.13 
GOOG,3/4/2019,$513.69 ,$542.77 ,$481.11 ,$575.35 
BELL,3/2/2019,$905.36 ,$939.31 ,$893.22 ,$951.45 
BELL,3/3/2019,$458.85 ,$489.62 ,$417.66 ,$530.80 
LYD,3/4/2019,$687.11 ,$720.92 ,$674.68 ,$733.35 
LYD,3/1/2019,$347.01 ,$350.83 ,$306.18 ,$391.66 
L.PR.B,3/2/2019,$226.87 ,$245.91 ,$185.38 ,$287.39 
TSLA,2/28/2019,$519.22 ,$521.26 ,$490.06 ,$550.42 
BELL,3/3/2019,$913.41 ,$916.20 ,$875.37 ,$954.24 
TSLA,2/28/2019,$805.78 ,$845.85 ,$775.80 ,$875.83 
DC.WT,2/28/2019,$911.95 ,$946.09 ,$902.29 ,$955.75 
BELL,3/4/2019,$630.82 ,$664.28 ,$587.84 ,$707.26 
L.PR.B,3/1/2019,$27.05 ,$59.16 ,($2.20),$88.40 
ARG,3/3/2019,$41.47 ,$71.06 ,$18.03 ,$94.51 
BELL,3/3/2019,$945.67 ,$974.53 ,$904.31 ,"$1,015.89 "
TSLA,3/3/2019,$106.50 ,$116.00 ,$82.01 ,$140.50 
